gene	geneName	baseMean	log2FC	stderror	padj
CNAG_04969	UGD1	2191.754	-0.701	0.257	0.04757
CNAG_04970	NA	32.668	3.108	1.041	0.026
CNAG_04973	NA	629.301	0.034	0.384	0.9728
CNAG_04974	NA	104.843	0.081	0.624	0.9592
CNAG_04975	NA	35.03	-0.114	1.031	0.9664
CNAG_04976	NA	2863.201	-0.153	0.261	0.7883
CNAG_04977	NA	148.33	-0.511	0.573	0.651
CNAG_04978	NA	15.039	0.059	1.862	NA
CNAG_04979	NA	129.728	-0.104	0.561	0.9402
CNAG_04980	NA	119.97	-0.786	0.598	0.4516
CNAG_04981	CAT1	436.535	2.852	0.438	1.01e-8
CNAG_04983	NA	110.328	-0.135	0.629	0.9309
CNAG_04984	PDR16	207.193	-0.251	0.484	0.8191
CNAG_04985	NA	955.672	-0.242	0.321	0.7111
CNAG_04986	NA	242.334	-0.386	0.425	0.6424
CNAG_04987	NA	122.142	1.049	0.552	0.2197
CNAG_04988	NA	33.767	-1.482	1.068	0.4177
CNAG_04989	NA	112.855	0.968	0.567	0.2846
CNAG_04990	PRO2	335.759	0.31	0.394	0.6962
CNAG_04991	NA	1488.325	-0.908	0.255	0.005389
CNAG_04992	NA	414.436	-0.259	0.389	0.7506
CNAG_04993	NA	9.785	0.138	1.732	NA
CNAG_04994	NA	66.752	0.96	0.837	0.5337
CNAG_04997	NA	332.874	-0.56	0.365	0.3557
CNAG_04999	NA	26.591	0.508	1.079	0.8389
CNAG_05000	NA	102.697	0.19	0.701	0.9116
CNAG_05001	NA	92.076	-0.434	0.871	0.8278
CNAG_05002	NA	1.044	-3.062	4.823	NA
CNAG_05003	NA	299.052	0.111	0.419	0.9126
CNAG_05004	NA	330.446	-0.016	0.422	0.9873
CNAG_05005	ATG1	283.413	1.373	0.427	0.01438
CNAG_05006	NA	267.306	-0.689	0.397	0.2746
CNAG_05007	NA	273.323	-0.262	0.412	0.7652
CNAG_05008	NA	31.075	1.243	1.004	0.4913
CNAG_05009	NA	402.917	-0.441	0.361	0.4976
CNAG_05010	ZFC7	0	NA	NA	NA
CNAG_05011	NA	144.321	0.775	0.521	0.3769
CNAG_05012	NA	105.515	-1.102	0.743	0.3789
CNAG_05013	HRB1	886.837	0.559	0.317	0.2652
CNAG_05015	CAT4	19.002	0.313	1.267	0.9187
CNAG_05016	NA	0	NA	NA	NA
CNAG_05017	NA	160.378	-0.476	0.494	0.6164
CNAG_05018	NA	24.194	-0.298	1.147	0.9153
CNAG_05019	FZC21	89.926	1.235	0.673	0.2401
CNAG_05020	NA	62.95	0.135	0.763	0.9413
CNAG_05021	NA	0.31	-1.339	4.909	NA
CNAG_05022	NA	43.432	1.327	0.881	0.3675
CNAG_05023	CAS91	175.519	0.011	0.499	0.9926
CNAG_05024	NA	41.401	-1.191	1	0.5116
CNAG_05025	NA	151.347	-0.708	0.51	0.417
CNAG_05026	NA	49.572	-0.513	0.964	0.8134
CNAG_05027	NA	61.502	0.949	0.784	0.5034
CNAG_05028	NA	724.8	-0.303	0.317	0.6203
CNAG_05029	NA	164.094	-0.587	0.49	0.5094
CNAG_05030	NA	115.712	0.3	0.581	0.8191
CNAG_05031	NA	799.691	0.51	0.285	0.2553
CNAG_05032	NA	216.137	-0.277	0.435	0.7653
CNAG_05033	NA	301.45	0.127	0.409	0.8983
CNAG_05034	NA	314.869	0.557	0.383	0.3904
CNAG_05035	NA	155.242	1.39	0.582	0.09632
CNAG_05036	NA	512.555	-0.25	0.412	0.7792
CNAG_05037	NA	1.549	-3.643	4.81	NA
CNAG_05038	NA	143.716	-0.12	0.509	0.922
CNAG_05039	NA	193.844	0.701	0.534	0.4522
CNAG_05040	NA	1.394	-3.492	4.813	NA
CNAG_05041	NA	1178.636	0.132	0.266	0.8278
CNAG_05042	NA	52.651	-0.006	1.114	0.9987
CNAG_05043	NA	293.734	-0.55	0.396	0.4186
CNAG_05044	NA	45.507	0.002	0.903	0.999
CNAG_05045	NA	129.027	-1.067	0.533	0.1869
CNAG_05046	NA	22.541	0.842	1.248	0.7484
CNAG_05049	PIP201	177.436	-0.056	0.477	0.9627
CNAG_05050	GCS2	128.203	-0.874	0.534	0.3114
CNAG_05053	NA	110.631	0.11	0.625	0.9415
CNAG_05055	NA	125.386	0.91	0.554	0.3092
CNAG_05056	NA	237.685	-0.774	0.434	0.2583
CNAG_05057	NA	181.446	-1.717	0.654	0.05951
CNAG_05058	NA	251.02	-0.121	0.461	0.9135
CNAG_05059	NA	976.161	0.282	0.296	0.622
CNAG_05060	NA	109.558	0.397	0.577	0.7424
CNAG_05061	NA	16.068	0.858	1.466	0.7895
CNAG_05062	NA	173.793	0.603	0.485	0.4883
CNAG_05063	SSK2	1083.02	0.033	0.261	0.9601
CNAG_05064	NA	35.771	-0.443	1.053	0.8564
CNAG_05065	NA	2.17	1.276	4.251	NA
CNAG_05066	NA	16.583	0.838	1.546	0.8098
CNAG_05067	CLR5	14.118	-0.314	1.904	NA
CNAG_05068	NA	856.899	0.357	0.297	0.5067
CNAG_05069	NA	513.418	0.012	0.329	0.988
CNAG_05070	NA	6255.141	-0.325	0.258	0.479
CNAG_05071	NA	68.651	0.918	0.746	0.495
CNAG_05072	NA	1.548	4.574	4.835	NA
CNAG_05074	NA	582.751	-0.075	0.314	0.9217
CNAG_05075	NA	85.305	-2.806	0.809	0.007156
CNAG_05076	NA	206.125	-0.439	0.448	0.6107
CNAG_05077	LPI11	145.578	1.732	0.514	0.009418
CNAG_05078	NA	465.456	-1.402	0.337	7.624e-4
CNAG_05079	NA	17.776	3.771	1.622	0.1084
CNAG_05080	CWH43	912.337	-0.294	0.291	0.5981
CNAG_05081	PDE1	103.223	-0.096	0.625	0.9499
CNAG_05082	NA	176.651	-0.441	0.492	0.6482
